age,agepvar,cabin,companions,embarked,fare,farerank,member,name,parch,pclass,pvar,sex,sexage,sibsp,status,survived,train
22.0,15.556349186104045,5.0,0.69314718055994529,2,0.90062111801242228,0.18630751964085299,2.0,1427,0,3,2,1,22.0,1,2.8136924803591472,0.0,1
38.0,26.870057685088803,4,0.69314718055994529,1,0.91077431398027509,0.19640852974186307,2.0,2420,0,1,2,-1,-38.0,1,0.80359147025813693,1.0,1
26.0,26.0,5.0,0.0,2,0.98447204968944091,0.39450056116722781,1.0,6424,0,3,1,-1,-26.0,0,2.6054994388327724,1.0,1
35.0,24.748737341529161,4,0.69314718055994529,2,1.0103854687161065,0.53759820426487093,2.0,5120,0,1,2,-1,-35.0,1,0.46240179573512907,1.0,1
35.0,35.0,5.0,0.0,2,1.0,0.47755331088664421,1.0,341,0,3,1,1,35.0,0,2.5224466891133557,0.0,1
30.0,30.0,5.0,0.0,3,1.0913935483870967,0.59034792368125699,1.0,11234,0,3,1,1,30.0,0,2.4096520763187428,0.0,1
54.0,54.0,1,0.0,2,0.9868383497417903,0.40572390572390571,1.0,10862,0,1,1,1,54.0,0,0.59427609427609429,0.0,1
2.0,0.89442719099991586,5.0,1.6094379124341003,2,2.6180124223602483,0.86924803591470257,3.0,13500,1,3,5,1,2.0,3,2.1307519640852974,0.0,1
27.0,15.588457268119896,5.0,1.0986122886681098,2,1.3830186335403725,0.6475869809203143,4.0,8534,2,3,3,-1,-27.0,0,2.3524130190796857,1.0,1
14.0,9.8994949366116654,4.0,0.69314718055994529,1,1.25295,0.63355780022446684,2.0,11700,0,2,2,-1,-14.0,1,1.3664421997755332,1.0,1
4.0,2.3094010767585034,5,1.0986122886681098,2,2.0745341614906829,0.82435465768799099,5.0,16200,1,3,3,-1,-4.0,1,2.1756453423120092,1.0,1
58.0,58.0,4,0.0,2,0.50519273435805323,0.060044893378226709,1.0,1334,0,1,1,-1,-58.0,0,0.93995510662177328,1.0,1
20.0,20.0,5.0,0.0,2,1.0,0.47755331088664421,1.0,16200,0,3,1,1,20.0,0,2.5224466891133557,0.0,1
39.0,14.740614447359862,5.0,1.9459101490553132,2,3.885093167701863,0.93827160493827155,4.0,403,5,3,7,1,39.0,1,2.0617283950617287,0.0,1
14.0,14.0,5.0,0.0,2,0.97567701863354028,0.33221099887766553,1.0,19024,0,3,1,-1,-14.0,0,2.6677890011223346,0.0,1
55.0,55.0,4.0,0.0,2,1.1851851851851851,0.62401795735129073,1.0,6424,0,2,1,-1,-55.0,0,1.3759820426487093,1.0,1
2.0,0.81649658092772615,5.0,1.791759469228055,3,3.7580645161290325,0.93153759820426485,3.0,15548,1,3,6,1,2.0,4,2.0684624017957352,0.0,1
30.0,30.0,4.0,0.0,2,0.96296296296296291,0.27441077441077444,1.0,20048,0,2,1,1,30.0,0,1.7255892255892256,1.0,1
31.0,21.920310216782973,5.0,0.69314718055994529,2,2.2360248447204967,0.83389450056116721,2.0,18900,0,3,2,-1,-31.0,1,2.1661054994388329,0.0,1
28.5,28.5,5.0,0.0,1,0.91504344081663658,0.20370370370370369,1.0,10800,0,3,1,-1,-28.5,0,2.7962962962962963,1.0,1
35.0,35.0,4.0,0.0,2,1.9259259259259258,0.75982042648709314,1.0,5244,0,2,1,1,35.0,0,1.2401795735129069,0.0,1
34.0,34.0,2,0.0,2,0.96296296296296291,0.27441077441077444,1.0,1024,0,2,1,1,34.0,0,1.7255892255892256,1.0,1
15.0,15.0,5.0,0.0,3,1.0360258064516128,0.55218855218855223,1.0,10862,0,3,1,-1,-15.0,0,2.4478114478114477,1.0,1
28.0,28.0,3,0.0,2,0.67549310997027834,0.099887766554433224,1.0,16541,0,1,1,1,28.0,0,0.90011223344556679,1.0,1
8.0,3.5777087639996634,5.0,1.6094379124341003,2,2.6180124223602483,0.86924803591470257,3.0,13500,1,3,5,-1,-8.0,3,2.1307519640852974,0.0,1
38.0,14.362649974350633,5.0,1.9459101490553132,2,3.8990683229813659,0.94444444444444442,4.0,558,5,3,7,-1,-38.0,1,2.0555555555555554,1.0,1
30.0,30.0,5.0,0.0,1,0.91504344081663658,0.20370370370370369,1.0,3972,0,3,1,1,30.0,0,2.7962962962962963,0.0,1
19.0,7.7567175188133977,4,1.791759469228055,2,5.0043574062586815,0.96689113355780021,4.0,4934,2,1,6,1,19.0,3,0.033108866442199791,0.0,1
28.5,28.5,5.0,0.0,3,1.0166709677419354,0.54826038159371493,1.0,13375,0,3,1,-1,-28.5,0,2.4517396184062852,1.0,1
30.0,30.0,5.0,0.0,2,0.98084472049689442,0.36475869809203143,1.0,17534,0,3,1,1,30.0,0,2.6352413019079686,0.0,1
40.0,40.0,3.0,0.0,1,0.35418383552647553,0.021885521885521887,1.0,18527,0,1,1,1,40.0,0,0.97811447811447816,0.0,1
29.0,20.506096654409877,3,0.69314718055994529,1,1.8720707529511276,0.74130190796857465,2.0,16665,0,1,2,-1,-29.0,1,0.25869809203142535,1.0,1
28.5,28.5,5.0,0.0,3,1.0,0.47755331088664421,1.0,5741,0,3,1,-1,-28.5,0,2.5224466891133557,1.0,1
66.0,66.0,4.0,0.0,2,0.77777777777777779,0.12514029180695849,1.0,20017,0,2,1,1,66.0,0,1.8748597081930416,0.0,1
28.0,19.798989873223331,3.0,0.69314718055994529,1,1.0498820060127743,0.56060606060606055,2.0,10924,0,1,2,1,28.0,1,0.43939393939393945,0.0,1
42.0,29.698484809834994,3.0,0.69314718055994529,2,0.98945469629449212,0.41077441077441079,2.0,6734,0,1,2,1,42.0,1,0.58922558922558921,0.0,1
30.0,30.0,5.0,0.0,1,0.91557536918361648,0.21885521885521886,1.0,10800,0,3,1,1,30.0,0,2.7811447811447811,1.0,1
21.0,21.0,5.0,0.0,2,1.0,0.47755331088664421,1.0,1800,0,3,1,1,21.0,0,2.5224466891133557,0.0,1
18.0,10.392304845413264,5.0,1.0986122886681098,2,2.2360248447204967,0.83389450056116721,2.0,18900,0,3,3,-1,-18.0,2,2.1661054994388329,0.0,1
14.0,9.8994949366116654,5.0,0.69314718055994529,1,1.4237569340662124,0.66049382716049387,2.0,11948,0,3,2,-1,-14.0,1,2.3395061728395063,1.0,1
40.0,28.284271247461898,5.0,0.69314718055994529,2,1.1770186335403725,0.611672278338945,2.0,217,0,3,2,-1,-40.0,1,2.3883277216610548,0.0,1
27.0,19.091883092036781,4.0,0.69314718055994529,2,1.5555555555555556,0.69191919191919193,2.0,17720,0,2,2,-1,-27.0,1,1.308080808080808,0.0,1
30.0,30.0,5.0,0.0,1,1.0,0.47755331088664421,1.0,9527,0,3,1,1,30.0,0,2.5224466891133557,0.0,1
3.0,1.5,4.0,1.3862943611198906,1,1.7324666666666666,0.71380471380471378,4.0,9900,2,2,4,-1,-3.0,1,1.2861952861952863,1.0,1
19.0,19.0,5.0,0.0,3,1.0166709677419354,0.54826038159371493,1.0,2824,0,3,1,-1,-19.0,0,2.4517396184062852,1.0,1
30.0,30.0,5.0,0.0,2,1.0,0.47755331088664421,1.0,15734,0,3,1,1,30.0,0,2.5224466891133557,0.0,1
30.0,21.213203435596423,5.0,0.69314718055994529,3,2.0,0.80920314253647585,2.0,10024,0,3,2,1,30.0,1,2.1907968574635239,0.0,1
28.5,28.5,5.0,0.0,3,1.0,0.47755331088664421,1.0,13375,0,3,1,-1,-28.5,0,2.5224466891133557,1.0,1
